I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,Label
0.0,3,38.0,23.0,5469.0,405.0,1.0,26.0,341.0,0.0,1.0,0.0,85.0,0,10,1395,1813,15,4,1819,2,1,722,13,1570,230,2,334,1582,0,314,0,0,38,0,0,986,0,0,0
0.0,9,6.0,37.0,8641.0,0.0,0.0,27.0,143.0,0.0,0.0,0.0,38.0,0,271,1680,1559,3,4,834,2,1,1366,539,2023,34,13,836,136,1,124,0,0,1049,0,1,916,0,0,0
0.0,1,7.0,3.0,1406.0,6.0,10.0,11.0,9.0,0.0,2.0,0.0,3.0,62,163,1057,410,36,0,1328,2,1,42,669,569,196,3,339,111,8,619,148,3,2139,0,0,670,2,729,1
0.0,3,2.0,2.0,25.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0,13,1158,1559,12,4,1117,2,1,1562,972,1431,704,13,928,409,8,142,0,0,1955,0,0,916,0,0,0
0.0,1,1.0,1.0,15361.0,112.0,8.0,1.0,106.0,0.0,1.0,0.0,1.0,0,218,92,1843,1,5,400,2,1,1498,855,1367,45,13,1027,1899,8,687,0,0,1629,3,0,939,0,0,0
0.0,2,0.0,0.0,36231.0,83.0,0.0,15.0,23.0,0.0,0.0,0.0,15.0,51,2,1654,1559,9,4,516,2,1,1161,57,1468,876,3,656,1167,7,129,0,0,1845,0,1,916,0,0,0
0.0,1266,5.0,0.0,21585.0,1010.0,3.0,3.0,198.0,0.0,1.0,0.0,2.0,0,84,876,314,3,5,1391,2,1,417,760,914,609,13,240,1497,0,122,0,0,1037,0,1,939,0,0,0
0.0,48,3.0,2.0,14482.0,377.0,8.0,2.0,283.0,0.0,2.0,0.0,2.0,0,12,1723,1412,12,0,526,2,1,137,1078,626,929,13,421,1854,8,268,37,3,37,0,0,848,29,958,0
0.0,13,15.0,5.0,10471.0,0.0,0.0,5.0,55.0,0.0,0.0,0.0,5.0,56,93,1988,1457,3,4,844,2,1,349,23,2013,639,9,617,1136,1,555,0,0,2,0,0,311,0,0,0
2.0,-1,0.0,0.0,285.0,5.0,2.0,1.0,22.0,2.0,2.0,0.0,0.0,0,12,735,1812,15,4,537,2,1,903,1045,604,378,2,721,994,8,415,18,3,1285,0,0,180,29,625,0
0.0,-1,2.0,0.0,41188.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0,157,1630,1009,15,1,543,2,1,541,1013,1952,399,13,839,1679,8,2,37,3,879,0,0,126,29,584,1
3.0,0,4.0,13.0,224.0,28.0,3.0,35.0,27.0,1.0,1.0,0.0,13.0,0,178,1464,153,3,1,1666,2,1,18,1235,204,246,8,762,1195,8,335,0,0,426,0,1,903,0,0,1
0.0,305,1.0,1.0,1974.0,132.0,9.0,29.0,137.0,0.0,4.0,0.0,1.0,0,49,2266,147,3,4,905,23,1,645,950,1666,696,2,311,388,8,300,109,3,1385,0,2,363,4,776,0
0.0,0,0.0,2.0,206016.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,2.0,105,66,665,1059,3,4,657,23,0,1361,282,1683,266,13,37,354,4,510,0,0,391,0,0,745,0,0,1
0.0,0,5.0,4.0,13050.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,4.0,0,270,1011,1325,3,0,346,2,1,434,1370,2291,366,2,1040,1384,0,51,0,0,279,0,0,126,0,0,0
0.0,219,13.0,19.0,4286.0,198.0,26.0,11.0,543.0,0.0,5.0,0.0,20.0,0,108,1679,1494,3,5,1568,2,1,1425,301,448,533,3,291,1547,8,596,37,1,347,5,2,311,30,988,0
0.0,50,12.0,13.0,10506.0,132.0,5.0,8.0,152.0,0.0,4.0,0.0,13.0,62,257,257,5,15,3,1519,2,1,1032,696,34,982,13,1105,2014,8,491,37,1,1093,0,0,711,2,521,0
1.0,145,2.0,4.0,1046.0,187.0,1.0,11.0,223.0,1.0,1.0,0.0,30.0,0,235,1179,147,15,6,1600,2,1,1497,687,1756,129,2,48,281,8,306,37,3,1742,0,2,363,1,776,0
4.0,213,5.0,3.0,2.0,0.0,9.0,25.0,46.0,1.0,6.0,0.0,0.0,0,177,1679,1494,3,6,853,2,1,286,808,448,1034,3,831,1547,8,307,37,1,347,5,3,311,29,669,0
0.0,0,9.0,9.0,30402.0,96.0,6.0,9.0,73.0,0.0,1.0,0.0,9.0,0,94,1988,1457,15,4,965,8,1,349,664,2013,657,3,1181,1136,8,456,0,0,2,5,1,311,0,0,1
0.0,1,11.0,1.0,10408.0,0.0,0.0,1.0,197.0,0.0,0.0,0.0,1.0,0,157,1236,1198,12,1,643,23,1,91,1162,660,335,2,1207,567,8,736,37,3,481,0,0,1190,29,883,0
0.0,60,1.0,0.0,6333.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,107,157,1807,1266,3,0,468,2,1,349,579,1263,727,13,677,152,0,131,37,1,479,0,0,126,29,753,1
0.0,-1,0.0,0.0,2282.0,41.0,30.0,15.0,157.0,0.0,3.0,4.0,0.0,0,96,520,196,3,6,3,23,1,349,590,1082,140,13,684,1027,6,370,89,2,1362,3,7,904,1,630,0
0.0,560,0.0,0.0,3178.0,19.0,16.0,8.0,89.0,0.0,4.0,0.0,0.0,0,54,1390,1126,3,4,603,23,1,65,866,1220,1120,2,375,812,8,738,0,0,886,0,2,824,0,0,0
0.0,1,33.0,14.0,1765.0,215.0,17.0,18.0,102.0,0.0,2.0,0.0,14.0,107,157,1126,1171,3,4,304,23,1,366,852,2283,26,13,390,1682,8,736,37,1,1367,0,1,263,29,534,0
0.0,-1,0.0,0.0,39728.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0,84,795,314,3,5,633,23,1,720,1254,914,271,13,1134,1497,8,122,0,0,1037,3,0,939,0,0,0
0.0,0,10.0,4.0,1928.0,220.0,0.0,5.0,62.0,0.0,0.0,0.0,6.0,62,157,1199,1164,3,4,74,2,1,1570,673,721,596,2,1207,2103,4,736,37,3,1921,0,1,226,29,516,0
0.0,0,3.0,4.0,4520.0,158.0,28.0,23.0,639.0,0.0,5.0,0.0,6.0,45,227,1232,1044,12,6,583,28,1,998,1145,605,493,2,542,1568,4,473,0,0,1082,5,3,296,0,0,0
0.0,1,9.0,4.0,4580.0,69.0,1.0,5.0,32.0,0.0,1.0,0.0,4.0,0,157,2225,100,3,5,405,23,1,1568,562,1449,200,2,1207,235,7,736,37,2,1870,0,1,443,29,978,0
0.0,58,4.0,0.0,26360.0,302.0,2.0,2.0,124.0,0.0,1.0,0.0,6.0,76,13,1680,1559,3,4,1106,2,0,349,1131,2023,511,2,930,136,7,142,0,0,1049,5,1,916,0,0,0
0.0,1,4.0,3.0,1689.0,184.0,12.0,46.0,53.0,0.0,1.0,0.0,3.0,62,37,2054,537,9,6,256,23,1,993,731,1975,281,13,315,826,8,166,37,2,1530,0,0,964,1,278,0
0.0,1065,5.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,69,66,1578,1367,9,5,1573,1,0,349,843,1677,746,2,815,987,2,115,0,0,306,0,8,906,0,0,0
0.0,0,22.0,24.0,3349.0,66.0,1.0,24.0,97.0,0.0,1.0,0.0,24.0,45,12,1402,117,3,4,46,2,1,1473,984,1421,549,2,285,1831,8,268,303,1,1404,0,0,1155,2,343,0
0.0,2,0.0,1.0,33213.0,111.0,9.0,1.0,38.0,0.0,0.0,0.0,1.0,37,116,1988,1457,3,5,1348,2,1,156,612,2013,834,2,646,1136,8,762,0,0,2,0,10,311,0,0,0
0.0,3401,0.0,0.0,39594.0,401.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,82,178,2394,402,3,3,268,2,1,1134,22,2286,1163,13,415,1773,0,365,0,0,1420,0,0,278,0,0,0
0.0,1,2.0,1.0,27504.0,4.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0,0,66,1766,383,3,5,482,2,1,889,1151,2135,199,13,659,1438,0,457,0,0,1077,0,0,104,0,0,0
0.0,1,100.0,5.0,18767.0,372.0,2.0,5.0,28.0,0.0,1.0,0.0,5.0,0,111,394,1621,3,4,670,2,1,779,479,1092,656,2,78,362,0,578,109,3,659,0,0,332,20,275,0
0.0,29,10.0,9.0,2046.0,88.0,2.0,17.0,21.0,0.0,1.0,0.0,10.0,0,93,1988,1457,3,6,1163,23,1,835,386,2013,311,9,617,1136,7,555,0,0,2,0,0,311,0,0,0
0.0,60,1.0,1.0,145.0,74.0,4.0,1.0,43.0,0.0,3.0,0.0,1.0,0,126,815,280,3,6,448,2,1,207,689,390,327,13,475,1779,8,119,0,0,355,0,0,847,0,0,0
0.0,-1,0.0,0.0,6397.0,51.0,1.0,13.0,49.0,0.0,1.0,0.0,0.0,0,66,2339,1872,3,0,811,2,1,380,475,1279,550,13,835,2062,7,39,0,0,1740,0,0,934,0,0,1
0.0,14,10.0,9.0,7269.0,73.0,2.0,9.0,91.0,0.0,2.0,0.0,9.0,0,171,1719,1308,3,5,781,2,1,349,311,1576,270,2,232,518,0,485,37,3,1280,0,0,436,4,288,0
0.0,1453,8.0,3.0,7106.0,158.0,2.0,13.0,123.0,0.0,1.0,0.0,13.0,0,111,2330,1031,3,5,261,2,1,276,1049,263,1010,13,508,1187,8,578,254,3,2209,0,1,332,20,275,0
0.0,378,12.0,6.0,0.0,2008.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0,244,49,71,3,5,759,2,1,1570,21,608,596,13,251,641,8,769,37,1,724,0,1,3,29,653,0
0.0,0,4.0,6.0,26771.0,0.0,0.0,6.0,319.0,0.0,0.0,0.0,6.0,0,187,1336,1843,3,4,1809,2,1,453,435,1667,389,13,85,1155,8,367,0,0,1456,0,0,939,0,0,0
0.0,1,3.0,1.0,63453.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,45,66,0,0,3,4,1438,1,0,1367,1040,0,1113,8,1147,0,1,633,0,0,0,0,2,0,0,0,0
0.0,4,3.0,2.0,2671.0,24.0,19.0,6.0,70.0,0.0,5.0,0.0,2.0,0,66,335,707,15,4,1192,23,1,1074,516,2026,279,2,1176,1487,8,582,0,0,1236,0,5,31,0,0,0
0.0,208,0.0,7.0,16099.0,116.0,6.0,6.0,37.0,0.0,2.0,0.0,7.0,0,45,2018,1843,15,0,1035,16,1,349,865,1874,1067,2,535,1899,4,385,0,0,846,0,0,939,0,0,0
0.0,310,6.0,8.0,23431.0,8.0,1.0,7.0,8.0,0.0,1.0,0.0,8.0,0,111,1553,921,12,4,384,2,1,349,1272,891,939,1,426,824,7,578,42,2,40,0,1,938,20,115,0
0.0,47,1.0,1.0,10137.0,76.0,8.0,3.0,77.0,0.0,1.0,0.0,1.0,0,12,1630,1009,3,4,1818,2,1,12,667,1952,176,9,1064,1679,0,298,280,1,879,0,0,126,29,703,0
2.0,1,1.0,1.0,357.0,7.0,12.0,10.0,53.0,1.0,3.0,0.0,1.0,0,66,372,713,3,5,1150,2,1,772,430,1616,1096,2,1002,692,8,664,0,0,966,0,0,402,0,0,0
0.0,14,0.0,0.0,31324.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,16.0,0,241,1988,1457,3,4,689,2,1,416,176,2013,825,2,1094,1136,8,402,0,0,2,0,2,311,0,0,0
0.0,1,1.0,1.0,1599.0,45.0,11.0,1.0,6.0,0.0,1.0,0.0,1.0,0,48,1988,1457,3,5,333,2,1,368,891,2013,145,3,353,1136,8,496,0,0,2,0,2,311,0,0,0
0.0,159,0.0,2.0,1023.0,0.0,0.0,13.0,36.0,0.0,0.0,0.0,2.0,38,138,0,0,12,4,838,23,1,349,1091,0,187,2,1038,0,5,728,0,0,0,3,0,0,0,0,1
0.0,0,0.0,5.0,41965.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,5.0,38,66,1574,407,3,5,33,2,1,247,276,1007,435,2,951,1325,8,717,0,0,303,3,1,1069,0,0,1
6.0,0,3.0,39.0,72.0,48.0,6.0,1.0,48.0,1.0,1.0,0.0,48.0,0,111,526,430,3,4,824,2,1,779,146,148,475,1,426,776,8,578,37,2,1092,3,1,86,20,263,0
0.0,0,1.0,1.0,285916.0,0.0,0.0,1.0,52.0,0.0,0.0,0.0,1.0,45,66,1800,563,3,6,772,2,0,1280,1066,40,718,3,1192,555,8,663,0,0,1057,0,1,151,0,0,0
1.0,3,2.0,2.0,59.0,2.0,8.0,12.0,352.0,1.0,5.0,0.0,2.0,82,157,722,1798,3,4,722,25,1,347,121,496,690,2,1207,2058,8,736,37,2,986,5,1,126,29,301,0
0.0,0,18.0,1.0,1573.0,12.0,14.0,5.0,137.0,0.0,4.0,0.0,4.0,82,12,344,1520,3,4,563,2,1,1180,1271,576,3,13,421,720,8,268,37,2,1584,0,0,332,29,912,0
3.0,2,3.0,16.0,72.0,17.0,3.0,7.0,17.0,1.0,1.0,0.0,17.0,0,66,976,1,15,4,1275,23,1,896,119,1172,360,13,128,2059,0,102,0,0,1722,0,2,934,0,0,0
6.0,0,15.0,4.0,0.0,3.0,6.0,6.0,4.0,1.0,1.0,0.0,3.0,0,182,1073,26,12,4,551,2,1,94,1055,1016,627,13,875,126,8,101,117,2,2115,1,0,332,29,275,0
5.0,-1,0.0,0.0,547.0,50.0,86.0,47.0,318.0,2.0,20.0,0.0,0.0,0,66,2301,564,3,4,1388,2,1,1394,517,872,460,13,174,471,8,141,0,0,1140,0,7,934,0,0,0
0.0,0,11.0,9.0,16221.0,892.0,8.0,45.0,437.0,0.0,2.0,0.0,10.0,0,259,1988,1457,3,4,636,2,1,349,832,2013,921,2,153,1136,8,559,0,0,2,0,10,311,0,0,1
0.0,0,15.0,2.0,20112.0,305.0,1.0,43.0,228.0,0.0,1.0,0.0,30.0,0,13,39,1457,3,4,1911,2,1,660,768,1275,643,2,382,455,7,193,0,0,2025,0,5,311,0,0,0
0.0,0,70.0,3.0,3005.0,1954.0,2.0,7.0,593.0,0.0,2.0,0.0,10.0,0,111,977,1700,15,4,1533,2,1,779,146,1629,475,2,78,27,8,578,281,3,1515,0,2,305,20,93,0
0.0,2,5.0,3.0,2931.0,11.0,3.0,10.0,18.0,0.0,2.0,0.0,3.0,0,47,1058,1102,3,5,394,23,1,1352,631,1564,736,15,520,158,0,397,48,2,1744,0,0,481,30,748,0
0.0,-1,0.0,0.0,1951.0,38.0,6.0,23.0,54.0,0.0,2.0,0.0,0.0,0,42,1680,1559,3,5,488,2,1,94,1055,2023,627,13,250,136,4,530,0,0,1049,3,0,916,0,0,0
0.0,6,6.0,0.0,33220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,12,1220,835,3,0,565,2,0,45,26,619,294,2,285,1909,7,268,253,1,476,0,0,126,29,704,1
0.0,97,0.0,12.0,10113.0,226.0,4.0,0.0,739.0,0.0,3.0,0.0,56.0,0,310,327,1094,3,5,348,2,1,1299,922,865,767,13,1122,1510,8,594,0,0,698,0,0,1036,0,0,0
1.0,0,1.0,27.0,8.0,27.0,2.0,25.0,155.0,1.0,2.0,0.0,27.0,0,66,1680,1559,1,5,964,2,1,272,981,2023,149,3,123,136,8,7,0,0,1049,0,3,916,0,0,0
0.0,-1,12.0,20.0,1480.0,40.0,128.0,26.0,485.0,0.0,22.0,0.0,21.0,107,46,0,0,15,4,1215,2,1,349,336,0,832,2,959,0,3,586,0,0,0,3,2,0,0,0,0
0.0,25,70.0,12.0,16092.0,56.0,15.0,15.0,41.0,0.0,4.0,0.0,13.0,0,12,1630,1009,3,0,1298,2,1,833,1184,1952,1045,9,1064,1679,7,298,280,1,879,0,0,126,29,703,0
0.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,45,126,2031,329,3,6,1585,23,0,349,1196,1710,1113,13,475,1678,2,119,0,0,1238,0,0,701,0,0,0
0.0,-1,0.0,0.0,1765.0,47.0,2.0,0.0,68.0,0.0,2.0,0.0,0.0,110,72,1923,1259,3,3,1756,2,1,1324,1192,1369,414,8,794,138,7,505,0,0,2090,0,0,1139,0,0,0
0.0,159,8.0,10.0,5784.0,39.0,6.0,10.0,38.0,0.0,1.0,0.0,10.0,82,9,2128,1663,15,5,1101,28,1,570,793,1065,1171,6,72,1135,8,127,0,0,392,3,1,241,0,0,0
0.0,39,1.0,1.0,6300.0,269.0,1.0,23.0,211.0,0.0,1.0,0.0,1.0,69,52,274,748,3,5,79,8,1,555,1192,1621,414,13,284,479,8,691,0,0,26,0,0,773,0,0,0
0.0,16,1.0,5.0,1746.0,19.0,8.0,8.0,18.0,0.0,2.0,0.0,5.0,0,279,1547,275,3,5,1475,2,1,878,292,2088,862,3,823,1030,8,585,0,0,902,0,8,768,0,0,0
10.0,0,27.0,21.0,5.0,15.0,10.0,22.0,22.0,2.0,2.0,0.0,15.0,0,224,699,991,15,4,205,2,1,349,627,766,62,2,1219,2064,8,604,37,1,1698,0,1,227,22,90,0
0.0,-1,10.0,12.0,12276.0,234.0,2.0,20.0,450.0,0.0,2.0,0.0,15.0,22,12,180,1638,3,0,555,2,1,945,454,145,606,13,421,683,0,268,229,2,370,0,0,126,29,373,0
0.0,270,4.0,0.0,4946.0,238.0,11.0,8.0,240.0,0.0,4.0,0.0,5.0,82,127,1680,1559,3,4,718,1,1,1414,994,2023,755,13,1213,136,4,342,0,0,1049,0,7,916,0,0,0
3.0,44,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,2.0,75,66,434,1754,15,6,947,23,1,570,657,799,740,3,641,2052,0,368,0,0,1187,0,1,1228,0,0,0
2.0,31,31.0,6.0,14.0,4.0,2.0,6.0,6.0,1.0,1.0,0.0,4.0,0,244,998,1433,15,6,1054,2,1,1174,266,327,1114,3,226,1154,0,769,37,1,1,3,7,311,29,653,0
1.0,-1,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,45,305,1656,1845,3,0,617,2,1,613,1235,1661,246,13,611,1560,7,10,0,0,84,0,0,1014,0,0,1
0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0,115,48,1423,12,4,1028,2,0,349,1304,1184,533,13,547,1586,2,12,0,0,1303,0,0,763,0,0,0
2.0,0,0.0,6.0,732.0,16.0,5.0,20.0,70.0,1.0,3.0,0.0,6.0,0,116,1988,1457,15,5,102,2,1,683,836,2013,225,13,175,1136,8,569,0,0,2,0,0,311,0,0,0
2.0,181,83.0,3.0,187.0,129.0,2.0,17.0,15.0,1.0,1.0,0.0,15.0,37,84,2359,314,3,4,520,23,1,1311,191,914,324,13,1134,1497,0,122,0,0,1037,0,1,939,0,0,0
1.0,0,6.0,2.0,1262.0,18.0,2.0,10.0,10.0,0.0,1.0,0.0,2.0,0,288,879,1601,3,6,414,2,1,1321,1154,1445,81,3,496,535,0,58,39,3,691,0,1,616,29,110,0
0.0,241,3.0,10.0,1504.0,192.0,41.0,47.0,1552.0,0.0,10.0,0.0,10.0,0,47,2354,742,3,4,740,23,1,1112,475,1610,550,13,799,1820,3,397,202,1,1348,0,7,671,29,422,0
9.0,2974,13.0,0.0,116.0,0.0,139.0,24.0,324.0,1.0,29.0,0.0,0.0,22,101,314,872,15,5,233,2,1,1444,630,756,430,13,1143,29,8,97,37,3,126,0,0,1250,31,629,0
3.0,2,14.0,10.0,12.0,8.0,16.0,11.0,43.0,2.0,11.0,0.0,8.0,43,12,282,1160,3,1,1623,16,1,1296,88,216,642,13,563,1667,4,217,27,1,985,0,0,346,29,846,0
0.0,0,31.0,2.0,41016.0,0.0,0.0,9.0,17.0,0.0,0.0,0.0,8.0,0,66,0,0,3,2,547,1,0,423,998,0,869,13,57,0,1,567,0,0,0,0,7,0,0,0,0
0.0,-1,0.0,0.0,18760.0,184.0,14.0,1.0,82.0,0.0,2.0,0.0,0.0,0,66,762,795,3,5,209,2,1,666,511,794,215,2,455,2081,3,697,0,0,2147,0,1,939,0,0,0
0.0,0,3.0,6.0,8223.0,123.0,5.0,10.0,130.0,0.0,2.0,1.0,11.0,33,45,797,1843,15,6,530,2,1,349,894,832,468,3,581,1899,3,385,0,0,1032,0,0,939,0,0,1
0.0,-1,6.0,1.0,31770.0,255.0,0.0,1.0,33.0,0.0,0.0,0.0,1.0,0,80,435,465,3,0,438,44,1,1003,941,281,702,2,1144,750,0,487,37,1,1697,0,1,126,29,180,0
0.0,57,3.0,4.0,25466.0,22.0,7.0,4.0,22.0,0.0,1.0,0.0,4.0,0,52,1267,1200,3,0,595,2,1,1483,403,1505,1110,2,1129,1749,8,434,0,0,1056,0,0,773,0,0,0
0.0,42,2.0,3.0,4321.0,257.0,1.0,4.0,55.0,0.0,1.0,0.0,3.0,79,52,629,1342,3,6,1174,21,1,439,689,699,327,2,134,877,8,340,0,0,2164,0,0,773,0,0,0
0.0,92,21.0,3.0,5084.0,0.0,0.0,17.0,180.0,0.0,0.0,0.0,18.0,37,131,774,45,3,4,1228,2,1,1114,339,1867,971,13,974,350,1,742,37,3,1218,0,0,1194,8,34,0
1.0,1,9.0,7.0,292.0,13.0,1.0,9.0,9.0,1.0,1.0,0.0,7.0,0,47,2407,1290,3,4,1909,2,1,418,1096,1918,84,13,799,1283,7,397,272,2,2237,0,1,760,30,282,1
0.0,1,6.0,1.0,6575.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,253,194,1287,8,0,266,8,1,559,575,103,774,13,428,831,1,579,121,3,1254,0,0,332,30,275,0
2.0,38,2.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0,66,2178,1243,8,5,1568,2,1,271,301,510,533,20,919,990,0,726,0,0,1321,0,0,242,0,0,1
0.0,1,5.0,7.0,19238.0,360.0,3.0,4.0,223.0,0.0,1.0,0.0,12.0,38,299,1555,756,3,5,674,1,1,837,449,709,933,15,100,385,0,620,37,1,1397,5,0,26,30,577,0
4.0,46,2.0,0.0,11.0,0.0,10.0,4.0,6.0,1.0,4.0,0.0,0.0,0,96,1823,403,3,0,1692,2,1,853,269,1969,839,2,1124,1754,8,370,59,2,283,0,0,702,1,711,0
0.0,2,3.0,3.0,265024.0,0.0,0.0,3.0,18.0,0.0,0.0,0.0,3.0,0,66,1682,1169,3,4,977,2,0,503,929,1439,935,2,21,736,7,276,0,0,1080,5,10,1249,0,0,0
1.0,2,48.0,3.0,20.0,3.0,6.0,21.0,21.0,1.0,3.0,0.0,3.0,1,163,1351,1327,28,4,1643,23,1,1358,225,1711,1164,13,821,867,8,561,62,2,477,0,0,332,2,275,0
1.0,11,67.0,2.0,28.0,2.0,15.0,2.0,211.0,1.0,5.0,0.0,2.0,0,251,1683,149,3,4,1230,2,1,1132,495,1457,781,2,932,1511,8,208,25,3,1959,0,1,332,15,904,0
0.0,-1,0.0,0.0,3123.0,22.0,48.0,0.0,32.0,0.0,5.0,1.0,0.0,45,66,1022,795,3,6,225,2,1,349,985,745,917,2,19,2081,3,697,0,0,2147,0,0,939,0,0,1
12.0,1,0.0,23.0,2.0,6.0,12.0,23.0,23.0,2.0,2.0,0.0,6.0,107,246,1158,1559,3,5,376,2,1,1288,686,1431,685,3,373,409,8,405,37,3,1955,0,2,916,30,537,1
1.0,5,33.0,6.0,375.0,74.0,3.0,46.0,258.0,1.0,2.0,0.0,68.0,0,239,1094,147,3,4,1013,2,1,340,527,1324,689,2,1254,1367,8,13,106,3,2126,0,2,363,29,776,1
